id,course_id,code,description,bloom_level
co-00642,subj-0123,22EC3104.CO6,Differentiate electromagnetic theory concepts and techniques,Analyze
co-00643,subj-0124,22EC3105.CO1,Demonstrate analog electronics lab concepts and techniques,Apply
co-00644,subj-0124,22EC3105.CO2,Solve analog electronics lab concepts and techniques,Apply
co-00645,subj-0124,22EC3105.CO3,Critique analog electronics lab concepts and techniques,Evaluate
co-00646,subj-0124,22EC3105.CO4,Compare analog electronics lab concepts and techniques,Analyze
co-00647,subj-0125,22EC3106.CO1,Distinguish network theory lab concepts and techniques,Analyze
co-00648,subj-0125,22EC3106.CO2,Interpret network theory lab concepts and techniques,Understand
co-00649,subj-0125,22EC3106.CO3,Describe network theory lab concepts and techniques,Understand
co-00650,subj-0125,22EC3106.CO4,Describe network theory lab concepts and techniques,Understand
co-00651,subj-0125,22EC3106.CO5,Analyze network theory lab concepts and techniques,Analyze
co-00652,subj-0126,22HS3101.CO1,Apply managerial economics & financial analysis concepts and techniques,Apply
co-00653,subj-0126,22HS3101.CO2,Use managerial economics & financial analysis concepts and techniques,Apply
co-00654,subj-0126,22HS3101.CO3,Distinguish managerial economics & financial analysis concepts and techniques,Analyze
co-00655,subj-0126,22HS3101.CO4,Use managerial economics & financial analysis concepts and techniques,Apply
co-00656,subj-0126,22HS3101.CO5,Judge managerial economics & financial analysis concepts and techniques,Evaluate
co-00657,subj-0127,22EC4101.CO1,Describe analog communication concepts and techniques,Understand
co-00658,subj-0127,22EC4101.CO2,Apply analog communication concepts and techniques,Apply
co-00659,subj-0127,22EC4101.CO3,Construct analog communication concepts and techniques,Create
co-00660,subj-0127,22EC4101.CO4,Develop analog communication concepts and techniques,Create
co-00661,subj-0127,22EC4101.CO5,Apply analog communication concepts and techniques,Apply
co-00662,subj-0127,22EC4101.CO6,Differentiate analog communication concepts and techniques,Analyze
co-00663,subj-0128,22EC4102.CO1,Construct digital signal processing concepts and techniques,Create
co-00664,subj-0128,22EC4102.CO2,Analyze digital signal processing concepts and techniques,Analyze
co-00665,subj-0128,22EC4102.CO3,Analyze digital signal processing concepts and techniques,Analyze
co-00666,subj-0128,22EC4102.CO4,Analyze digital signal processing concepts and techniques,Analyze
co-00667,subj-0128,22EC4102.CO5,Explain digital signal processing concepts and techniques,Understand
co-00668,subj-0129,22EC4103.CO1,Propose linear ic applications concepts and techniques,Create
co-00669,subj-0129,22EC4103.CO2,Evaluate linear ic applications concepts and techniques,Evaluate
co-00670,subj-0129,22EC4103.CO3,Use linear ic applications concepts and techniques,Apply
co-00671,subj-0129,22EC4103.CO4,Solve linear ic applications concepts and techniques,Apply
co-00672,subj-0129,22EC4103.CO5,Apply linear ic applications concepts and techniques,Apply
co-00673,subj-0130,22EC4104.CO1,Classify control systems concepts and techniques,Understand
co-00674,subj-0130,22EC4104.CO2,List control systems concepts and techniques,Remember
co-00675,subj-0130,22EC4104.CO3,Recall control systems concepts and techniques,Remember
co-00676,subj-0130,22EC4104.CO4,Use control systems concepts and techniques,Apply
co-00677,subj-0130,22EC4104.CO5,Examine control systems concepts and techniques,Analyze
co-00678,subj-0131,22EC4105.CO1,Solve communication & dsp lab concepts and techniques,Apply
co-00679,subj-0131,22EC4105.CO2,Formulate communication & dsp lab concepts and techniques,Create
co-00680,subj-0131,22EC4105.CO3,Apply communication & dsp lab concepts and techniques,Apply
co-00681,subj-0131,22EC4105.CO4,Define communication & dsp lab concepts and techniques,Remember
co-00682,subj-0132,22EC4106.CO1,Use ic applications lab concepts and techniques,Apply
co-00683,subj-0132,22EC4106.CO2,Compare ic applications lab concepts and techniques,Analyze
co-00684,subj-0132,22EC4106.CO3,Implement ic applications lab concepts and techniques,Apply
co-00685,subj-0132,22EC4106.CO4,Classify ic applications lab concepts and techniques,Understand
co-00686,subj-0132,22EC4106.CO5,List ic applications lab concepts and techniques,Remember
co-00687,subj-0133,22HS4101.CO1,Formulate environmental science concepts and techniques,Create
co-00688,subj-0133,22HS4101.CO2,Judge environmental science concepts and techniques,Evaluate
co-00689,subj-0133,22HS4101.CO3,Demonstrate environmental science concepts and techniques,Apply
co-00690,subj-0133,22HS4101.CO4,Summarize environmental science concepts and techniques,Understand
co-00691,subj-0133,22HS4101.CO5,Interpret environmental science concepts and techniques,Understand
co-00692,subj-0133,22HS4101.CO6,Describe environmental science concepts and techniques,Understand
co-00693,subj-0134,22EC5101.CO1,Examine digital communication concepts and techniques,Analyze
co-00694,subj-0134,22EC5101.CO2,Describe digital communication concepts and techniques,Understand
co-00695,subj-0134,22EC5101.CO3,Identify digital communication concepts and techniques,Remember
co-00696,subj-0134,22EC5101.CO4,Solve digital communication concepts and techniques,Apply
co-00697,subj-0134,22EC5101.CO5,Assess digital communication concepts and techniques,Evaluate
co-00698,subj-0135,22EC5102.CO1,Use vlsi design concepts and techniques,Apply
co-00699,subj-0135,22EC5102.CO2,Distinguish vlsi design concepts and techniques,Analyze
co-00700,subj-0135,22EC5102.CO3,Distinguish vlsi design concepts and techniques,Analyze
co-00701,subj-0135,22EC5102.CO4,Critique vlsi design concepts and techniques,Evaluate
co-00702,subj-0135,22EC5102.CO5,Interpret vlsi design concepts and techniques,Understand
co-00703,subj-0136,22EC5103.CO1,Compare microprocessors & microcontrollers concepts and techniques,Analyze
co-00704,subj-0136,22EC5103.CO2,Analyze microprocessors & microcontrollers concepts and techniques,Analyze
co-00705,subj-0136,22EC5103.CO3,Demonstrate microprocessors & microcontrollers concepts and techniques,Apply
co-00706,subj-0136,22EC5103.CO4,Critique microprocessors & microcontrollers concepts and techniques,Evaluate
co-00707,subj-0136,22EC5103.CO5,Differentiate microprocessors & microcontrollers concepts and techniques,Analyze
co-00708,subj-0137,22EC5104.CO1,Design antenna & wave propagation concepts and techniques,Create
co-00709,subj-0137,22EC5104.CO2,Formulate antenna & wave propagation concepts and techniques,Create
co-00710,subj-0137,22EC5104.CO3,Propose antenna & wave propagation concepts and techniques,Create
co-00711,subj-0137,22EC5104.CO4,Demonstrate antenna & wave propagation concepts and techniques,Apply
co-00712,subj-0137,22EC5104.CO5,Assess antenna & wave propagation concepts and techniques,Evaluate
co-00713,subj-0138,22EC5105.CO1,Solve vlsi & microprocessor lab concepts and techniques,Apply
co-00714,subj-0138,22EC5105.CO2,Apply vlsi & microprocessor lab concepts and techniques,Apply
co-00715,subj-0138,22EC5105.CO3,Demonstrate vlsi & microprocessor lab concepts and techniques,Apply
co-00716,subj-0138,22EC5105.CO4,Demonstrate vlsi & microprocessor lab concepts and techniques,Apply
co-00717,subj-0139,22EC5106.CO1,Use professional elective - i concepts and techniques,Apply
co-00718,subj-0139,22EC5106.CO2,Examine professional elective - i concepts and techniques,Analyze
co-00719,subj-0139,22EC5106.CO3,Interpret professional elective - i concepts and techniques,Understand
co-00720,subj-0139,22EC5106.CO4,List professional elective - i concepts and techniques,Remember
co-00721,subj-0139,22EC5106.CO5,Develop professional elective - i concepts and techniques,Create
co-00722,subj-0140,22MC5101.CO1,Analyze constitution of india concepts and techniques,Analyze
co-00723,subj-0140,22MC5101.CO2,Develop constitution of india concepts and techniques,Create
co-00724,subj-0140,22MC5101.CO3,Distinguish constitution of india concepts and techniques,Analyze
co-00725,subj-0140,22MC5101.CO4,Describe constitution of india concepts and techniques,Understand
co-00726,subj-0140,22MC5101.CO5,Assess constitution of india concepts and techniques,Evaluate
co-00727,subj-0140,22MC5101.CO6,Distinguish constitution of india concepts and techniques,Analyze
co-00728,subj-0141,22EC6101.CO1,Recall wireless communication concepts and techniques,Remember
co-00729,subj-0141,22EC6101.CO2,Judge wireless communication concepts and techniques,Evaluate
co-00730,subj-0141,22EC6101.CO3,Solve wireless communication concepts and techniques,Apply
co-00731,subj-0141,22EC6101.CO4,Demonstrate wireless communication concepts and techniques,Apply
co-00732,subj-0141,22EC6101.CO5,Evaluate wireless communication concepts and techniques,Evaluate
co-00733,subj-0141,22EC6101.CO6,Construct wireless communication concepts and techniques,Create
co-00734,subj-0142,22EC6102.CO1,Summarize embedded systems concepts and techniques,Understand
co-00735,subj-0142,22EC6102.CO2,Implement embedded systems concepts and techniques,Apply
co-00736,subj-0142,22EC6102.CO3,Interpret embedded systems concepts and techniques,Understand
co-00737,subj-0142,22EC6102.CO4,Assess embedded systems concepts and techniques,Evaluate
co-00738,subj-0142,22EC6102.CO5,Demonstrate embedded systems concepts and techniques,Apply
co-00739,subj-0143,22EC6103.CO1,Formulate radar & satellite communication concepts and techniques,Create
co-00740,subj-0143,22EC6103.CO2,Solve radar & satellite communication concepts and techniques,Apply
co-00741,subj-0143,22EC6103.CO3,Design radar & satellite communication concepts and techniques,Create
co-00742,subj-0143,22EC6103.CO4,Distinguish radar & satellite communication concepts and techniques,Analyze
co-00743,subj-0143,22EC6103.CO5,Implement radar & satellite communication concepts and techniques,Apply
co-00744,subj-0143,22EC6103.CO6,Construct radar & satellite communication concepts and techniques,Create
co-00745,subj-0144,22EC6104.CO1,Distinguish digital image processing concepts and techniques,Analyze
co-00746,subj-0144,22EC6104.CO2,Use digital image processing concepts and techniques,Apply
co-00747,subj-0144,22EC6104.CO3,Define digital image processing concepts and techniques,Remember
co-00748,subj-0144,22EC6104.CO4,Distinguish digital image processing concepts and techniques,Analyze
co-00749,subj-0144,22EC6104.CO5,Construct digital image processing concepts and techniques,Create
co-00750,subj-0145,22EC6105.CO1,Implement embedded systems lab concepts and techniques,Apply
co-00751,subj-0145,22EC6105.CO2,Propose embedded systems lab concepts and techniques,Create
co-00752,subj-0145,22EC6105.CO3,Compare embedded systems lab concepts and techniques,Analyze
co-00753,subj-0145,22EC6105.CO4,Implement embedded systems lab concepts and techniques,Apply
co-00754,subj-0145,22EC6105.CO5,Critique embedded systems lab concepts and techniques,Evaluate
co-00755,subj-0146,22EC6106.CO1,Identify professional elective - ii concepts and techniques,Remember
co-00756,subj-0146,22EC6106.CO2,Apply professional elective - ii concepts and techniques,Apply
co-00757,subj-0146,22EC6106.CO3,Distinguish professional elective - ii concepts and techniques,Analyze
co-00758,subj-0146,22EC6106.CO4,Differentiate professional elective - ii concepts and techniques,Analyze
co-00759,subj-0146,22EC6106.CO5,Classify professional elective - ii concepts and techniques,Understand
co-00760,subj-0147,22EC6107.CO1,Apply open elective - i concepts and techniques,Apply
co-00761,subj-0147,22EC6107.CO2,Solve open elective - i concepts and techniques,Apply
co-00762,subj-0147,22EC6107.CO3,Develop open elective - i concepts and techniques,Create
co-00763,subj-0147,22EC6107.CO4,Construct open elective - i concepts and techniques,Create
co-00764,subj-0147,22EC6107.CO5,Analyze open elective - i concepts and techniques,Analyze
co-00765,subj-0148,22EC7101.CO1,Propose optical communication concepts and techniques,Create
co-00766,subj-0148,22EC7101.CO2,Construct optical communication concepts and techniques,Create
co-00767,subj-0148,22EC7101.CO3,Propose optical communication concepts and techniques,Create
co-00768,subj-0148,22EC7101.CO4,Solve optical communication concepts and techniques,Apply
co-00769,subj-0148,22EC7101.CO5,Construct optical communication concepts and techniques,Create
co-00770,subj-0149,22EC7102.CO1,Analyze robotics concepts and techniques,Analyze
co-00771,subj-0149,22EC7102.CO2,Formulate robotics concepts and techniques,Create
co-00772,subj-0149,22EC7102.CO3,Assess robotics concepts and techniques,Evaluate
co-00773,subj-0149,22EC7102.CO4,Justify robotics concepts and techniques,Evaluate
co-00774,subj-0149,22EC7102.CO5,Develop robotics concepts and techniques,Create
co-00775,subj-0149,22EC7102.CO6,Assess robotics concepts and techniques,Evaluate
co-00776,subj-0150,22EC7103.CO1,Evaluate professional elective - iii concepts and techniques,Evaluate
co-00777,subj-0150,22EC7103.CO2,Propose professional elective - iii concepts and techniques,Create
co-00778,subj-0150,22EC7103.CO3,Evaluate professional elective - iii concepts and techniques,Evaluate
co-00779,subj-0150,22EC7103.CO4,Describe professional elective - iii concepts and techniques,Understand
co-00780,subj-0150,22EC7103.CO5,Evaluate professional elective - iii concepts and techniques,Evaluate
co-00781,subj-0150,22EC7103.CO6,Assess professional elective - iii concepts and techniques,Evaluate
co-00782,subj-0151,22EC7104.CO1,Distinguish open elective - ii concepts and techniques,Analyze
co-00783,subj-0151,22EC7104.CO2,Compare open elective - ii concepts and techniques,Analyze
co-00784,subj-0151,22EC7104.CO3,Differentiate open elective - ii concepts and techniques,Analyze
co-00785,subj-0151,22EC7104.CO4,Design open elective - ii concepts and techniques,Create
co-00786,subj-0151,22EC7104.CO5,Construct open elective - ii concepts and techniques,Create
co-00787,subj-0152,22EC7105.CO1,Implement project - i concepts and techniques,Apply
co-00788,subj-0152,22EC7105.CO2,Formulate project - i concepts and techniques,Create
co-00789,subj-0152,22EC7105.CO3,Propose project - i concepts and techniques,Create
co-00790,subj-0152,22EC7105.CO4,Evaluate project - i concepts and techniques,Evaluate
co-00791,subj-0153,22EC7106.CO1,Evaluate seminar concepts and techniques,Evaluate
co-00792,subj-0153,22EC7106.CO2,Differentiate seminar concepts and techniques,Analyze
co-00793,subj-0153,22EC7106.CO3,Apply seminar concepts and techniques,Apply
co-00794,subj-0153,22EC7106.CO4,Use seminar concepts and techniques,Apply
co-00795,subj-0153,22EC7106.CO5,Formulate seminar concepts and techniques,Create
co-00796,subj-0154,22EC8101.CO1,Demonstrate professional elective - iv concepts and techniques,Apply
co-00797,subj-0154,22EC8101.CO2,Develop professional elective - iv concepts and techniques,Create
co-00798,subj-0154,22EC8101.CO3,Use professional elective - iv concepts and techniques,Apply
co-00799,subj-0154,22EC8101.CO4,Identify professional elective - iv concepts and techniques,Remember
co-00800,subj-0154,22EC8101.CO5,Judge professional elective - iv concepts and techniques,Evaluate
co-00801,subj-0154,22EC8101.CO6,Evaluate professional elective - iv concepts and techniques,Evaluate
co-00802,subj-0155,22EC8102.CO1,Judge project - ii concepts and techniques,Evaluate
co-00803,subj-0155,22EC8102.CO2,Summarize project - ii concepts and techniques,Understand
co-00804,subj-0155,22EC8102.CO3,Recall project - ii concepts and techniques,Remember
co-00805,subj-0155,22EC8102.CO4,Propose project - ii concepts and techniques,Create
co-00806,subj-0156,22EC8103.CO1,Recall comprehensive viva concepts and techniques,Remember
co-00807,subj-0156,22EC8103.CO2,Distinguish comprehensive viva concepts and techniques,Analyze
co-00808,subj-0156,22EC8103.CO3,Apply comprehensive viva concepts and techniques,Apply
co-00809,subj-0156,22EC8103.CO4,Evaluate comprehensive viva concepts and techniques,Evaluate
co-00810,subj-0156,22EC8103.CO5,Distinguish comprehensive viva concepts and techniques,Analyze
co-00811,subj-0157,22MA1101.CO1,Distinguish linear algebra & calculus concepts and techniques,Analyze
co-00812,subj-0157,22MA1101.CO2,Use linear algebra & calculus concepts and techniques,Apply
co-00813,subj-0157,22MA1101.CO3,Solve linear algebra & calculus concepts and techniques,Apply
co-00814,subj-0157,22MA1101.CO4,Critique linear algebra & calculus concepts and techniques,Evaluate
co-00815,subj-0157,22MA1101.CO5,Analyze linear algebra & calculus concepts and techniques,Analyze
co-00816,subj-0158,22PH1101.CO1,Recall applied physics concepts and techniques,Remember
co-00817,subj-0158,22PH1101.CO2,Demonstrate applied physics concepts and techniques,Apply
co-00818,subj-0158,22PH1101.CO3,Implement applied physics concepts and techniques,Apply
co-00819,subj-0158,22PH1101.CO4,Examine applied physics concepts and techniques,Analyze
co-00820,subj-0158,22PH1101.CO5,List applied physics concepts and techniques,Remember
co-00821,subj-0159,22CS1101.CO1,Use programming for problem solving (c) concepts and techniques,Apply
co-00822,subj-0159,22CS1101.CO2,Summarize programming for problem solving (c) concepts and techniques,Understand
co-00823,subj-0159,22CS1101.CO3,Explain programming for problem solving (c) concepts and techniques,Understand
co-00824,subj-0159,22CS1101.CO4,Interpret programming for problem solving (c) concepts and techniques,Understand
co-00825,subj-0159,22CS1101.CO5,Describe programming for problem solving (c) concepts and techniques,Understand
co-00826,subj-0159,22CS1101.CO6,Summarize programming for problem solving (c) concepts and techniques,Understand
co-00827,subj-0160,22CS1102.CO1,Describe programming for problem solving lab concepts and techniques,Understand
co-00828,subj-0160,22CS1102.CO2,Apply programming for problem solving lab concepts and techniques,Apply
co-00829,subj-0160,22CS1102.CO3,Develop programming for problem solving lab concepts and techniques,Create
co-00830,subj-0160,22CS1102.CO4,Define programming for problem solving lab concepts and techniques,Remember
co-00831,subj-0160,22CS1102.CO5,Classify programming for problem solving lab concepts and techniques,Understand
co-00832,subj-0161,22EN1101.CO1,Interpret english - i concepts and techniques,Understand
co-00833,subj-0161,22EN1101.CO2,List english - i concepts and techniques,Remember
co-00834,subj-0161,22EN1101.CO3,Explain english - i concepts and techniques,Understand
co-00835,subj-0161,22EN1101.CO4,Judge english - i concepts and techniques,Evaluate
co-00836,subj-0161,22EN1101.CO5,Implement english - i concepts and techniques,Apply
co-00837,subj-0162,22ME1101.CO1,State engineering drawing concepts and techniques,Remember
co-00838,subj-0162,22ME1101.CO2,Differentiate engineering drawing concepts and techniques,Analyze
co-00839,subj-0162,22ME1101.CO3,Explain engineering drawing concepts and techniques,Understand
co-00840,subj-0162,22ME1101.CO4,Interpret engineering drawing concepts and techniques,Understand
co-00841,subj-0162,22ME1101.CO5,Recall engineering drawing concepts and techniques,Remember
co-00842,subj-0163,22PH1102.CO1,Critique applied physics lab concepts and techniques,Evaluate
co-00843,subj-0163,22PH1102.CO2,Demonstrate applied physics lab concepts and techniques,Apply
co-00844,subj-0163,22PH1102.CO3,Define applied physics lab concepts and techniques,Remember
co-00845,subj-0163,22PH1102.CO4,Define applied physics lab concepts and techniques,Remember
co-00846,subj-0164,22MA1201.CO1,"Summarize probability, statistics & numerical methods concepts and techniques",Understand
co-00847,subj-0164,22MA1201.CO2,"State probability, statistics & numerical methods concepts and techniques",Remember
co-00848,subj-0164,22MA1201.CO3,"Describe probability, statistics & numerical methods concepts and techniques",Understand
co-00849,subj-0164,22MA1201.CO4,"State probability, statistics & numerical methods concepts and techniques",Remember
co-00850,subj-0164,22MA1201.CO5,"Differentiate probability, statistics & numerical methods concepts and techniques",Analyze
co-00851,subj-0165,22CH1201.CO1,Demonstrate engineering chemistry concepts and techniques,Apply
co-00852,subj-0165,22CH1201.CO2,Demonstrate engineering chemistry concepts and techniques,Apply
co-00853,subj-0165,22CH1201.CO3,Solve engineering chemistry concepts and techniques,Apply
co-00854,subj-0165,22CH1201.CO4,Use engineering chemistry concepts and techniques,Apply
co-00855,subj-0165,22CH1201.CO5,Differentiate engineering chemistry concepts and techniques,Analyze
co-00856,subj-0165,22CH1201.CO6,Recall engineering chemistry concepts and techniques,Remember
co-00857,subj-0166,22EE1201.CO1,Use basic electrical engineering concepts and techniques,Apply
co-00858,subj-0166,22EE1201.CO2,Explain basic electrical engineering concepts and techniques,Understand
co-00859,subj-0166,22EE1201.CO3,Classify basic electrical engineering concepts and techniques,Understand
co-00860,subj-0166,22EE1201.CO4,Summarize basic electrical engineering concepts and techniques,Understand
co-00861,subj-0166,22EE1201.CO5,Explain basic electrical engineering concepts and techniques,Understand
co-00862,subj-0166,22EE1201.CO6,Demonstrate basic electrical engineering concepts and techniques,Apply
co-00863,subj-0167,22EE1202.CO1,Apply basic electrical engineering lab concepts and techniques,Apply
co-00864,subj-0167,22EE1202.CO2,Identify basic electrical engineering lab concepts and techniques,Remember
co-00865,subj-0167,22EE1202.CO3,Explain basic electrical engineering lab concepts and techniques,Understand
co-00866,subj-0167,22EE1202.CO4,Recall basic electrical engineering lab concepts and techniques,Remember
co-00867,subj-0168,22EN1201.CO1,Explain english - ii concepts and techniques,Understand
co-00868,subj-0168,22EN1201.CO2,List english - ii concepts and techniques,Remember
co-00869,subj-0168,22EN1201.CO3,Describe english - ii concepts and techniques,Understand
co-00870,subj-0168,22EN1201.CO4,State english - ii concepts and techniques,Remember
co-00871,subj-0168,22EN1201.CO5,Differentiate english - ii concepts and techniques,Analyze
co-00872,subj-0169,22CS1201.CO1,State data structures concepts and techniques,Remember
co-00873,subj-0169,22CS1201.CO2,Interpret data structures concepts and techniques,Understand
co-00874,subj-0169,22CS1201.CO3,Identify data structures concepts and techniques,Remember
co-00875,subj-0169,22CS1201.CO4,Explain data structures concepts and techniques,Understand
co-00876,subj-0169,22CS1201.CO5,Summarize data structures concepts and techniques,Understand
co-00877,subj-0169,22CS1201.CO6,Apply data structures concepts and techniques,Apply
co-00878,subj-0170,22CS1202.CO1,Apply data structures lab concepts and techniques,Apply
co-00879,subj-0170,22CS1202.CO2,Examine data structures lab concepts and techniques,Analyze
co-00880,subj-0170,22CS1202.CO3,Develop data structures lab concepts and techniques,Create
co-00881,subj-0170,22CS1202.CO4,Solve data structures lab concepts and techniques,Apply
co-00882,subj-0170,22CS1202.CO5,Use data structures lab concepts and techniques,Apply
co-00883,subj-0171,22CH1202.CO1,Use engineering chemistry lab concepts and techniques,Apply
co-00884,subj-0171,22CH1202.CO2,Design engineering chemistry lab concepts and techniques,Create
co-00885,subj-0171,22CH1202.CO3,State engineering chemistry lab concepts and techniques,Remember
co-00886,subj-0171,22CH1202.CO4,Summarize engineering chemistry lab concepts and techniques,Understand
co-00887,subj-0172,22EE3101.CO1,Analyze electrical machines - i concepts and techniques,Analyze
co-00888,subj-0172,22EE3101.CO2,Demonstrate electrical machines - i concepts and techniques,Apply
co-00889,subj-0172,22EE3101.CO3,Construct electrical machines - i concepts and techniques,Create
co-00890,subj-0172,22EE3101.CO4,Explain electrical machines - i concepts and techniques,Understand
co-00891,subj-0172,22EE3101.CO5,Compare electrical machines - i concepts and techniques,Analyze
co-00892,subj-0172,22EE3101.CO6,Distinguish electrical machines - i concepts and techniques,Analyze
co-00893,subj-0173,22EE3102.CO1,Describe network theory concepts and techniques,Understand
co-00894,subj-0173,22EE3102.CO2,Compare network theory concepts and techniques,Analyze
co-00895,subj-0173,22EE3102.CO3,Summarize network theory concepts and techniques,Understand
co-00896,subj-0173,22EE3102.CO4,Analyze network theory concepts and techniques,Analyze
co-00897,subj-0173,22EE3102.CO5,Demonstrate network theory concepts and techniques,Apply
co-00898,subj-0173,22EE3102.CO6,Differentiate network theory concepts and techniques,Analyze
co-00899,subj-0174,22EE3103.CO1,Differentiate electromagnetic fields concepts and techniques,Analyze
co-00900,subj-0174,22EE3103.CO2,Examine electromagnetic fields concepts and techniques,Analyze
co-00901,subj-0174,22EE3103.CO3,Differentiate electromagnetic fields concepts and techniques,Analyze
co-00902,subj-0174,22EE3103.CO4,Solve electromagnetic fields concepts and techniques,Apply
co-00903,subj-0174,22EE3103.CO5,Use electromagnetic fields concepts and techniques,Apply
co-00904,subj-0175,22EE3104.CO1,Solve electronic devices & circuits concepts and techniques,Apply
co-00905,subj-0175,22EE3104.CO2,Classify electronic devices & circuits concepts and techniques,Understand
co-00906,subj-0175,22EE3104.CO3,Summarize electronic devices & circuits concepts and techniques,Understand
co-00907,subj-0175,22EE3104.CO4,Distinguish electronic devices & circuits concepts and techniques,Analyze
co-00908,subj-0175,22EE3104.CO5,Demonstrate electronic devices & circuits concepts and techniques,Apply
co-00909,subj-0175,22EE3104.CO6,Describe electronic devices & circuits concepts and techniques,Understand
co-00910,subj-0176,22EE3105.CO1,Evaluate electrical machines lab concepts and techniques,Evaluate
co-00911,subj-0176,22EE3105.CO2,List electrical machines lab concepts and techniques,Remember
co-00912,subj-0176,22EE3105.CO3,Demonstrate electrical machines lab concepts and techniques,Apply
co-00913,subj-0176,22EE3105.CO4,Propose electrical machines lab concepts and techniques,Create
co-00914,subj-0176,22EE3105.CO5,Apply electrical machines lab concepts and techniques,Apply
co-00915,subj-0177,22EE3106.CO1,Apply electronics lab concepts and techniques,Apply
co-00916,subj-0177,22EE3106.CO2,Distinguish electronics lab concepts and techniques,Analyze
co-00917,subj-0177,22EE3106.CO3,State electronics lab concepts and techniques,Remember
co-00918,subj-0177,22EE3106.CO4,Distinguish electronics lab concepts and techniques,Analyze
co-00919,subj-0177,22EE3106.CO5,Classify electronics lab concepts and techniques,Understand
co-00920,subj-0178,22HS3101.CO1,Develop managerial economics & financial analysis concepts and techniques,Create
co-00921,subj-0178,22HS3101.CO2,Analyze managerial economics & financial analysis concepts and techniques,Analyze
co-00922,subj-0178,22HS3101.CO3,Interpret managerial economics & financial analysis concepts and techniques,Understand
co-00923,subj-0178,22HS3101.CO4,Interpret managerial economics & financial analysis concepts and techniques,Understand
co-00924,subj-0178,22HS3101.CO5,List managerial economics & financial analysis concepts and techniques,Remember
co-00925,subj-0179,22EE4101.CO1,Analyze electrical machines - ii concepts and techniques,Analyze
co-00926,subj-0179,22EE4101.CO2,Implement electrical machines - ii concepts and techniques,Apply
co-00927,subj-0179,22EE4101.CO3,Justify electrical machines - ii concepts and techniques,Evaluate
co-00928,subj-0179,22EE4101.CO4,Demonstrate electrical machines - ii concepts and techniques,Apply
co-00929,subj-0179,22EE4101.CO5,Critique electrical machines - ii concepts and techniques,Evaluate
co-00930,subj-0179,22EE4101.CO6,Classify electrical machines - ii concepts and techniques,Understand
co-00931,subj-0180,22EE4102.CO1,Distinguish power systems - i concepts and techniques,Analyze
co-00932,subj-0180,22EE4102.CO2,Solve power systems - i concepts and techniques,Apply
co-00933,subj-0180,22EE4102.CO3,Compare power systems - i concepts and techniques,Analyze
co-00934,subj-0180,22EE4102.CO4,Solve power systems - i concepts and techniques,Apply
co-00935,subj-0180,22EE4102.CO5,Distinguish power systems - i concepts and techniques,Analyze
co-00936,subj-0180,22EE4102.CO6,Analyze power systems - i concepts and techniques,Analyze
co-00937,subj-0181,22EE4103.CO1,Describe control systems concepts and techniques,Understand
co-00938,subj-0181,22EE4103.CO2,Distinguish control systems concepts and techniques,Analyze
co-00939,subj-0181,22EE4103.CO3,Describe control systems concepts and techniques,Understand
co-00940,subj-0181,22EE4103.CO4,Use control systems concepts and techniques,Apply
co-00941,subj-0181,22EE4103.CO5,Implement control systems concepts and techniques,Apply
co-00942,subj-0182,22EE4104.CO1,Implement signals & systems concepts and techniques,Apply
co-00943,subj-0182,22EE4104.CO2,Critique signals & systems concepts and techniques,Evaluate
co-00944,subj-0182,22EE4104.CO3,Compare signals & systems concepts and techniques,Analyze
co-00945,subj-0182,22EE4104.CO4,Apply signals & systems concepts and techniques,Apply
co-00946,subj-0182,22EE4104.CO5,Propose signals & systems concepts and techniques,Create
co-00947,subj-0182,22EE4104.CO6,Formulate signals & systems concepts and techniques,Create
co-00948,subj-0183,22EE4105.CO1,Differentiate machines & control lab concepts and techniques,Analyze
co-00949,subj-0183,22EE4105.CO2,Compare machines & control lab concepts and techniques,Analyze
co-00950,subj-0183,22EE4105.CO3,Evaluate machines & control lab concepts and techniques,Evaluate
co-00951,subj-0183,22EE4105.CO4,Use machines & control lab concepts and techniques,Apply
co-00952,subj-0183,22EE4105.CO5,Implement machines & control lab concepts and techniques,Apply
co-00953,subj-0184,22EE4106.CO1,Propose simulation lab concepts and techniques,Create
co-00954,subj-0184,22EE4106.CO2,Demonstrate simulation lab concepts and techniques,Apply
co-00955,subj-0184,22EE4106.CO3,Use simulation lab concepts and techniques,Apply
co-00956,subj-0184,22EE4106.CO4,Develop simulation lab concepts and techniques,Create
co-00957,subj-0185,22HS4101.CO1,Recall environmental science concepts and techniques,Remember
co-00958,subj-0185,22HS4101.CO2,Apply environmental science concepts and techniques,Apply
co-00959,subj-0185,22HS4101.CO3,Examine environmental science concepts and techniques,Analyze
co-00960,subj-0185,22HS4101.CO4,Implement environmental science concepts and techniques,Apply
co-00961,subj-0185,22HS4101.CO5,Develop environmental science concepts and techniques,Create
co-00962,subj-0185,22HS4101.CO6,Differentiate environmental science concepts and techniques,Analyze
co-00963,subj-0186,22EE5101.CO1,Develop power systems - ii concepts and techniques,Create
co-00964,subj-0186,22EE5101.CO2,Use power systems - ii concepts and techniques,Apply
co-00965,subj-0186,22EE5101.CO3,Distinguish power systems - ii concepts and techniques,Analyze
co-00966,subj-0186,22EE5101.CO4,Solve power systems - ii concepts and techniques,Apply
