id,college_id,student_id,scholarship_type,amount,semester,academic_year,disbursement_date,status,payment_mode,reference_number
sch-000742,college-aits-001,STU-00232,Merit,10000.0,2,2023-2024,2024-03-14,disbursed,RTGS,SCH834406
sch-000743,college-aits-001,STU-00232,Merit,10000.0,3,2024-2025,2024-09-18,disbursed,NEFT,SCH172371
sch-000744,college-aits-001,STU-00232,Merit,10000.0,4,2024-2025,2025-04-02,disbursed,RTGS,SCH528728
sch-000745,college-aits-001,STU-00232,Merit,10000.0,5,2025-2026,,pending,Direct Benefit Transfer,
sch-000746,college-aits-001,STU-00235,EBC,20000.0,1,2023-2024,2023-11-21,disbursed,RTGS,SCH492650
sch-000747,college-aits-001,STU-00235,EBC,20000.0,2,2023-2024,2024-04-15,disbursed,RTGS,SCH493892
sch-000748,college-aits-001,STU-00235,EBC,20000.0,3,2024-2025,2024-09-22,disbursed,Direct Benefit Transfer,SCH665497
sch-000749,college-aits-001,STU-00235,EBC,20000.0,4,2024-2025,2025-03-21,disbursed,RTGS,SCH224395
sch-000750,college-aits-001,STU-00235,EBC,20000.0,5,2025-2026,2025-09-18,disbursed,NEFT,SCH863214
sch-000751,college-aits-001,STU-00236,Merit,10000.0,1,2023-2024,2023-09-27,disbursed,NEFT,SCH892911
sch-000752,college-aits-001,STU-00236,Merit,10000.0,2,2023-2024,2024-03-10,disbursed,RTGS,SCH806215
sch-000753,college-aits-001,STU-00236,Merit,10000.0,3,2024-2025,2024-11-18,disbursed,RTGS,SCH657772
sch-000754,college-aits-001,STU-00236,Merit,10000.0,4,2024-2025,2025-04-27,disbursed,NEFT,SCH359535
sch-000755,college-aits-001,STU-00236,Merit,10000.0,5,2025-2026,,pending,NEFT,
sch-000756,college-aits-001,STU-00239,EBC,20000.0,1,2023-2024,2023-11-25,disbursed,NEFT,SCH133782
sch-000757,college-aits-001,STU-00239,EBC,20000.0,2,2023-2024,2024-05-14,disbursed,Direct Benefit Transfer,SCH903265
sch-000758,college-aits-001,STU-00239,EBC,20000.0,3,2024-2025,2024-09-08,disbursed,NEFT,SCH170559
sch-000759,college-aits-001,STU-00239,EBC,20000.0,4,2024-2025,2025-03-20,disbursed,NEFT,SCH568127
sch-000760,college-aits-001,STU-00239,EBC,20000.0,5,2025-2026,2025-11-22,disbursed,NEFT,SCH356622
sch-000761,college-aits-001,STU-00240,EBC,20000.0,1,2023-2024,2023-11-02,disbursed,RTGS,SCH560285
sch-000762,college-aits-001,STU-00240,EBC,20000.0,2,2023-2024,2024-03-18,disbursed,NEFT,SCH891030
sch-000763,college-aits-001,STU-00240,EBC,20000.0,3,2024-2025,2024-09-05,disbursed,Direct Benefit Transfer,SCH403314
sch-000764,college-aits-001,STU-00240,EBC,20000.0,4,2024-2025,2025-03-27,disbursed,Direct Benefit Transfer,SCH704095
sch-000765,college-aits-001,STU-00240,EBC,20000.0,5,2025-2026,2025-10-19,disbursed,Direct Benefit Transfer,SCH958136
sch-000766,college-aits-001,STU-00242,SC/ST Post-Matric,45000.0,1,2024-2025,2024-10-08,disbursed,RTGS,SCH250219
sch-000767,college-aits-001,STU-00242,SC/ST Post-Matric,45000.0,2,2024-2025,2025-05-17,disbursed,NEFT,SCH533649
sch-000768,college-aits-001,STU-00242,SC/ST Post-Matric,45000.0,3,2025-2026,,pending,Direct Benefit Transfer,
sch-000769,college-aits-001,STU-00243,SC/ST Post-Matric,45000.0,1,2024-2025,2024-11-06,disbursed,Direct Benefit Transfer,SCH811721
sch-000770,college-aits-001,STU-00243,SC/ST Post-Matric,45000.0,2,2024-2025,2025-04-18,disbursed,RTGS,SCH149161
sch-000771,college-aits-001,STU-00243,SC/ST Post-Matric,45000.0,3,2025-2026,2025-10-21,disbursed,Direct Benefit Transfer,SCH434217
sch-000772,college-aits-001,STU-00246,EBC,20000.0,1,2024-2025,2024-11-14,disbursed,RTGS,SCH256466
sch-000773,college-aits-001,STU-00246,EBC,20000.0,2,2024-2025,2025-04-13,disbursed,NEFT,SCH891062
sch-000774,college-aits-001,STU-00246,EBC,20000.0,3,2025-2026,,pending,NEFT,
sch-000775,college-aits-001,STU-00248,Merit,10000.0,1,2024-2025,2024-10-28,disbursed,Direct Benefit Transfer,SCH251363
sch-000776,college-aits-001,STU-00248,Merit,10000.0,2,2024-2025,2025-04-02,disbursed,Direct Benefit Transfer,SCH532723
sch-000777,college-aits-001,STU-00248,Merit,10000.0,3,2025-2026,2025-10-18,disbursed,RTGS,SCH354655
sch-000778,college-aits-001,STU-00249,Merit,10000.0,1,2024-2025,2024-10-07,disbursed,RTGS,SCH778120
sch-000779,college-aits-001,STU-00249,Merit,10000.0,2,2024-2025,2025-03-15,disbursed,RTGS,SCH196955
sch-000780,college-aits-001,STU-00249,Merit,10000.0,3,2025-2026,2025-11-24,disbursed,NEFT,SCH381502
sch-000781,college-aits-001,STU-00250,Merit,10000.0,1,2024-2025,2024-10-22,disbursed,Direct Benefit Transfer,SCH732209
sch-000782,college-aits-001,STU-00250,Merit,10000.0,2,2024-2025,2025-03-28,disbursed,NEFT,SCH297303
sch-000783,college-aits-001,STU-00250,Merit,10000.0,3,2025-2026,2025-11-24,disbursed,NEFT,SCH602681
sch-000784,college-aits-001,STU-00251,EBC,20000.0,1,2024-2025,2024-09-28,disbursed,RTGS,SCH417915
sch-000785,college-aits-001,STU-00251,EBC,20000.0,2,2024-2025,2025-03-07,disbursed,NEFT,SCH877493
sch-000786,college-aits-001,STU-00251,EBC,20000.0,3,2025-2026,2025-09-24,disbursed,RTGS,SCH354377
sch-000787,college-aits-001,STU-00253,SC/ST Post-Matric,45000.0,1,2024-2025,2024-11-20,disbursed,Direct Benefit Transfer,SCH314447
sch-000788,college-aits-001,STU-00253,SC/ST Post-Matric,45000.0,2,2024-2025,2025-04-08,disbursed,Direct Benefit Transfer,SCH437237
sch-000789,college-aits-001,STU-00253,SC/ST Post-Matric,45000.0,3,2025-2026,2025-10-13,disbursed,Direct Benefit Transfer,SCH476710
sch-000790,college-aits-001,STU-00256,Merit,10000.0,1,2024-2025,2024-10-09,disbursed,RTGS,SCH637727
sch-000791,college-aits-001,STU-00256,Merit,10000.0,2,2024-2025,2025-04-15,disbursed,NEFT,SCH941814
sch-000792,college-aits-001,STU-00256,Merit,10000.0,3,2025-2026,2025-11-16,disbursed,RTGS,SCH312994
sch-000793,college-aits-001,STU-00260,EBC,20000.0,1,2024-2025,2024-10-11,disbursed,RTGS,SCH147936
sch-000794,college-aits-001,STU-00260,EBC,20000.0,2,2024-2025,2025-05-28,disbursed,NEFT,SCH877259
sch-000795,college-aits-001,STU-00260,EBC,20000.0,3,2025-2026,,pending,Direct Benefit Transfer,
sch-000796,college-aits-001,STU-00263,SC/ST Post-Matric,45000.0,1,2024-2025,2024-11-24,disbursed,RTGS,SCH409531
sch-000797,college-aits-001,STU-00263,SC/ST Post-Matric,45000.0,2,2024-2025,2025-03-07,disbursed,RTGS,SCH341192
sch-000798,college-aits-001,STU-00263,SC/ST Post-Matric,45000.0,3,2025-2026,2025-10-19,disbursed,RTGS,SCH677390
sch-000799,college-aits-001,STU-00264,SC/ST Post-Matric,45000.0,1,2024-2025,2024-11-22,disbursed,RTGS,SCH369826
sch-000800,college-aits-001,STU-00264,SC/ST Post-Matric,45000.0,2,2024-2025,2025-04-24,disbursed,Direct Benefit Transfer,SCH875520
sch-000801,college-aits-001,STU-00264,SC/ST Post-Matric,45000.0,3,2025-2026,,pending,RTGS,
sch-000802,college-aits-001,STU-00266,SC/ST Post-Matric,45000.0,1,2024-2025,2024-09-05,disbursed,Direct Benefit Transfer,SCH673095
sch-000803,college-aits-001,STU-00266,SC/ST Post-Matric,45000.0,2,2024-2025,2025-04-06,disbursed,Direct Benefit Transfer,SCH772985
sch-000804,college-aits-001,STU-00266,SC/ST Post-Matric,45000.0,3,2025-2026,,pending,NEFT,
sch-000805,college-aits-001,STU-00267,Merit,10000.0,1,2024-2025,2024-11-02,disbursed,NEFT,SCH532424
sch-000806,college-aits-001,STU-00267,Merit,10000.0,2,2024-2025,2025-03-27,disbursed,Direct Benefit Transfer,SCH342675
sch-000807,college-aits-001,STU-00267,Merit,10000.0,3,2025-2026,,pending,NEFT,
sch-000808,college-aits-001,STU-00272,Merit,10000.0,1,2024-2025,2024-11-15,disbursed,RTGS,SCH163386
sch-000809,college-aits-001,STU-00272,Merit,10000.0,2,2024-2025,2025-05-21,disbursed,Direct Benefit Transfer,SCH746467
sch-000810,college-aits-001,STU-00272,Merit,10000.0,3,2025-2026,2025-10-22,disbursed,NEFT,SCH658065
sch-000811,college-aits-001,STU-00273,Merit,10000.0,1,2024-2025,2024-11-14,disbursed,NEFT,SCH117538
sch-000812,college-aits-001,STU-00273,Merit,10000.0,2,2024-2025,2025-05-24,disbursed,RTGS,SCH661762
sch-000813,college-aits-001,STU-00273,Merit,10000.0,3,2025-2026,2025-10-01,disbursed,Direct Benefit Transfer,SCH806774
sch-000814,college-aits-001,STU-00275,SC/ST Post-Matric,45000.0,1,2024-2025,2024-10-26,disbursed,NEFT,SCH212214
sch-000815,college-aits-001,STU-00275,SC/ST Post-Matric,45000.0,2,2024-2025,2025-03-17,disbursed,NEFT,SCH352674
sch-000816,college-aits-001,STU-00275,SC/ST Post-Matric,45000.0,3,2025-2026,2025-09-20,disbursed,RTGS,SCH380310
sch-000817,college-aits-001,STU-00278,Merit,10000.0,1,2024-2025,2024-10-03,disbursed,RTGS,SCH525750
sch-000818,college-aits-001,STU-00278,Merit,10000.0,2,2024-2025,2025-04-19,disbursed,NEFT,SCH831105
sch-000819,college-aits-001,STU-00278,Merit,10000.0,3,2025-2026,2025-09-10,disbursed,NEFT,SCH785491
sch-000820,college-aits-001,STU-00279,EBC,20000.0,1,2024-2025,2024-11-25,disbursed,NEFT,SCH198042
sch-000821,college-aits-001,STU-00279,EBC,20000.0,2,2024-2025,2025-04-13,disbursed,RTGS,SCH679549
sch-000822,college-aits-001,STU-00279,EBC,20000.0,3,2025-2026,2025-10-02,disbursed,Direct Benefit Transfer,SCH279708
sch-000823,college-aits-001,STU-00281,Merit,10000.0,1,2024-2025,2024-09-16,disbursed,RTGS,SCH776234
sch-000824,college-aits-001,STU-00281,Merit,10000.0,2,2024-2025,2025-04-19,disbursed,NEFT,SCH653815
sch-000825,college-aits-001,STU-00281,Merit,10000.0,3,2025-2026,,pending,Direct Benefit Transfer,
sch-000826,college-aits-001,STU-00283,SC/ST Post-Matric,45000.0,1,2024-2025,2024-11-16,disbursed,RTGS,SCH148823
sch-000827,college-aits-001,STU-00283,SC/ST Post-Matric,45000.0,2,2024-2025,2025-03-22,disbursed,RTGS,SCH669408
sch-000828,college-aits-001,STU-00283,SC/ST Post-Matric,45000.0,3,2025-2026,,pending,RTGS,
sch-000829,college-aits-001,STU-00285,SC/ST Post-Matric,45000.0,1,2024-2025,2024-09-07,disbursed,Direct Benefit Transfer,SCH251195
sch-000830,college-aits-001,STU-00285,SC/ST Post-Matric,45000.0,2,2024-2025,2025-05-27,disbursed,RTGS,SCH180674
sch-000831,college-aits-001,STU-00285,SC/ST Post-Matric,45000.0,3,2025-2026,2025-10-06,disbursed,Direct Benefit Transfer,SCH975194
sch-000832,college-aits-001,STU-00286,EBC,20000.0,1,2024-2025,2024-10-22,disbursed,Direct Benefit Transfer,SCH447843
sch-000833,college-aits-001,STU-00286,EBC,20000.0,2,2024-2025,2025-04-25,disbursed,Direct Benefit Transfer,SCH246748
sch-000834,college-aits-001,STU-00286,EBC,20000.0,3,2025-2026,,pending,Direct Benefit Transfer,
sch-000835,college-aits-001,STU-00287,SC/ST Post-Matric,45000.0,1,2024-2025,2024-10-02,disbursed,NEFT,SCH558320
sch-000836,college-aits-001,STU-00287,SC/ST Post-Matric,45000.0,2,2024-2025,2025-03-27,disbursed,NEFT,SCH457137
sch-000837,college-aits-001,STU-00287,SC/ST Post-Matric,45000.0,3,2025-2026,2025-11-25,disbursed,Direct Benefit Transfer,SCH515973
sch-000838,college-aits-001,STU-00288,SC/ST Post-Matric,45000.0,1,2024-2025,2024-10-01,disbursed,Direct Benefit Transfer,SCH386604
sch-000839,college-aits-001,STU-00288,SC/ST Post-Matric,45000.0,2,2024-2025,2025-04-16,disbursed,NEFT,SCH473095
sch-000840,college-aits-001,STU-00288,SC/ST Post-Matric,45000.0,3,2025-2026,2025-11-13,disbursed,Direct Benefit Transfer,SCH714334
sch-000841,college-aits-001,STU-00289,EBC,20000.0,1,2024-2025,2024-11-13,disbursed,NEFT,SCH909676
sch-000842,college-aits-001,STU-00289,EBC,20000.0,2,2024-2025,2025-05-10,disbursed,NEFT,SCH847748
sch-000843,college-aits-001,STU-00289,EBC,20000.0,3,2025-2026,,pending,RTGS,
sch-000844,college-aits-001,STU-00294,SC/ST Post-Matric,45000.0,1,2024-2025,2024-11-26,disbursed,Direct Benefit Transfer,SCH261771
sch-000845,college-aits-001,STU-00294,SC/ST Post-Matric,45000.0,2,2024-2025,2025-05-13,disbursed,RTGS,SCH478221
sch-000846,college-aits-001,STU-00294,SC/ST Post-Matric,45000.0,3,2025-2026,,pending,RTGS,
sch-000847,college-aits-001,STU-00295,EBC,20000.0,1,2024-2025,2024-10-12,disbursed,RTGS,SCH207197
sch-000848,college-aits-001,STU-00295,EBC,20000.0,2,2024-2025,2025-03-03,disbursed,NEFT,SCH551914
sch-000849,college-aits-001,STU-00295,EBC,20000.0,3,2025-2026,2025-10-18,disbursed,RTGS,SCH208310
sch-000850,college-aits-001,STU-00297,SC/ST Post-Matric,45000.0,1,2024-2025,2024-09-03,disbursed,RTGS,SCH681141
sch-000851,college-aits-001,STU-00297,SC/ST Post-Matric,45000.0,2,2024-2025,2025-03-20,disbursed,Direct Benefit Transfer,SCH922543
sch-000852,college-aits-001,STU-00297,SC/ST Post-Matric,45000.0,3,2025-2026,2025-10-28,disbursed,RTGS,SCH533911
sch-000853,college-aits-001,STU-00298,Merit,10000.0,1,2024-2025,2024-10-25,disbursed,NEFT,SCH860053
sch-000854,college-aits-001,STU-00298,Merit,10000.0,2,2024-2025,2025-05-08,disbursed,Direct Benefit Transfer,SCH646417
sch-000855,college-aits-001,STU-00298,Merit,10000.0,3,2025-2026,2025-09-22,disbursed,NEFT,SCH381981
sch-000856,college-aits-001,STU-00299,EBC,20000.0,1,2024-2025,2024-10-09,disbursed,RTGS,SCH253023
sch-000857,college-aits-001,STU-00299,EBC,20000.0,2,2024-2025,2025-03-06,disbursed,RTGS,SCH389366
sch-000858,college-aits-001,STU-00299,EBC,20000.0,3,2025-2026,2025-10-10,disbursed,NEFT,SCH478666
sch-000859,college-aits-001,STU-00301,EBC,20000.0,1,2024-2025,2024-10-08,disbursed,Direct Benefit Transfer,SCH755395
sch-000860,college-aits-001,STU-00301,EBC,20000.0,2,2024-2025,2025-04-20,disbursed,Direct Benefit Transfer,SCH305047
sch-000861,college-aits-001,STU-00301,EBC,20000.0,3,2025-2026,,pending,NEFT,
sch-000862,college-aits-001,STU-00303,SC/ST Post-Matric,45000.0,1,2024-2025,2024-10-11,disbursed,Direct Benefit Transfer,SCH498343
sch-000863,college-aits-001,STU-00303,SC/ST Post-Matric,45000.0,2,2024-2025,2025-04-15,disbursed,RTGS,SCH551533
sch-000864,college-aits-001,STU-00303,SC/ST Post-Matric,45000.0,3,2025-2026,,pending,RTGS,
sch-000865,college-aits-001,STU-00304,Merit,10000.0,1,2024-2025,2024-11-23,disbursed,NEFT,SCH602278
sch-000866,college-aits-001,STU-00304,Merit,10000.0,2,2024-2025,2025-04-06,disbursed,RTGS,SCH434640
sch-000867,college-aits-001,STU-00304,Merit,10000.0,3,2025-2026,2025-10-24,disbursed,RTGS,SCH703853
sch-000868,college-aits-001,STU-00306,Merit,10000.0,1,2024-2025,2024-09-11,disbursed,RTGS,SCH393916
sch-000869,college-aits-001,STU-00306,Merit,10000.0,2,2024-2025,2025-04-12,disbursed,NEFT,SCH691240
sch-000870,college-aits-001,STU-00306,Merit,10000.0,3,2025-2026,2025-09-19,disbursed,NEFT,SCH814827
sch-000871,college-aits-001,STU-00309,SC/ST Post-Matric,45000.0,1,2024-2025,2024-11-01,disbursed,Direct Benefit Transfer,SCH584045
sch-000872,college-aits-001,STU-00309,SC/ST Post-Matric,45000.0,2,2024-2025,2025-05-07,disbursed,RTGS,SCH936433
sch-000873,college-aits-001,STU-00309,SC/ST Post-Matric,45000.0,3,2025-2026,2025-10-27,disbursed,RTGS,SCH805668
sch-000874,college-aits-001,STU-00311,SC/ST Post-Matric,45000.0,1,2024-2025,2024-10-05,disbursed,Direct Benefit Transfer,SCH417543
sch-000875,college-aits-001,STU-00311,SC/ST Post-Matric,45000.0,2,2024-2025,2025-03-09,disbursed,Direct Benefit Transfer,SCH261630
sch-000876,college-aits-001,STU-00311,SC/ST Post-Matric,45000.0,3,2025-2026,2025-11-14,disbursed,NEFT,SCH570880
sch-000877,college-aits-001,STU-00312,Merit,10000.0,1,2024-2025,2024-11-16,disbursed,Direct Benefit Transfer,SCH520274
sch-000878,college-aits-001,STU-00312,Merit,10000.0,2,2024-2025,2025-05-17,disbursed,Direct Benefit Transfer,SCH538620
sch-000879,college-aits-001,STU-00312,Merit,10000.0,3,2025-2026,2025-11-02,disbursed,RTGS,SCH835716
sch-000880,college-aits-001,STU-00313,Merit,10000.0,1,2024-2025,2024-11-20,disbursed,Direct Benefit Transfer,SCH189110
sch-000881,college-aits-001,STU-00313,Merit,10000.0,2,2024-2025,2025-03-25,disbursed,NEFT,SCH789545
sch-000882,college-aits-001,STU-00313,Merit,10000.0,3,2025-2026,,pending,Direct Benefit Transfer,
sch-000883,college-aits-001,STU-00314,SC/ST Post-Matric,45000.0,1,2024-2025,2024-09-19,disbursed,Direct Benefit Transfer,SCH810380
sch-000884,college-aits-001,STU-00314,SC/ST Post-Matric,45000.0,2,2024-2025,2025-05-13,disbursed,RTGS,SCH934908
sch-000885,college-aits-001,STU-00314,SC/ST Post-Matric,45000.0,3,2025-2026,,pending,RTGS,
sch-000886,college-aits-001,STU-00315,Merit,10000.0,1,2024-2025,2024-09-17,disbursed,Direct Benefit Transfer,SCH643998
sch-000887,college-aits-001,STU-00315,Merit,10000.0,2,2024-2025,2025-05-19,disbursed,Direct Benefit Transfer,SCH703178
sch-000888,college-aits-001,STU-00315,Merit,10000.0,3,2025-2026,2025-09-15,disbursed,RTGS,SCH909859
sch-000889,college-aits-001,STU-00317,EBC,20000.0,1,2024-2025,2024-11-19,disbursed,Direct Benefit Transfer,SCH624776
sch-000890,college-aits-001,STU-00317,EBC,20000.0,2,2024-2025,2025-03-12,disbursed,NEFT,SCH606222
sch-000891,college-aits-001,STU-00317,EBC,20000.0,3,2025-2026,2025-09-10,disbursed,NEFT,SCH221707
sch-000892,college-aits-001,STU-00320,Merit,10000.0,1,2024-2025,2024-11-05,disbursed,RTGS,SCH427040
sch-000893,college-aits-001,STU-00320,Merit,10000.0,2,2024-2025,2025-04-15,disbursed,NEFT,SCH646428
sch-000894,college-aits-001,STU-00320,Merit,10000.0,3,2025-2026,2025-10-12,disbursed,RTGS,SCH857065
sch-000895,college-aits-001,STU-00323,SC/ST Post-Matric,45000.0,1,2024-2025,2024-11-15,disbursed,RTGS,SCH170437
sch-000896,college-aits-001,STU-00323,SC/ST Post-Matric,45000.0,2,2024-2025,2025-04-02,disbursed,Direct Benefit Transfer,SCH220675
sch-000897,college-aits-001,STU-00323,SC/ST Post-Matric,45000.0,3,2025-2026,2025-09-28,disbursed,NEFT,SCH810032
sch-000898,college-aits-001,STU-00326,SC/ST Post-Matric,45000.0,1,2024-2025,2024-09-24,disbursed,NEFT,SCH641058
sch-000899,college-aits-001,STU-00326,SC/ST Post-Matric,45000.0,2,2024-2025,2025-03-18,disbursed,NEFT,SCH447067
sch-000900,college-aits-001,STU-00326,SC/ST Post-Matric,45000.0,3,2025-2026,2025-11-14,disbursed,NEFT,SCH936507
sch-000901,college-aits-001,STU-00328,SC/ST Post-Matric,45000.0,1,2024-2025,2024-10-21,disbursed,NEFT,SCH295440
sch-000902,college-aits-001,STU-00328,SC/ST Post-Matric,45000.0,2,2024-2025,2025-05-22,disbursed,RTGS,SCH514798
sch-000903,college-aits-001,STU-00328,SC/ST Post-Matric,45000.0,3,2025-2026,2025-09-24,disbursed,NEFT,SCH571413
sch-000904,college-aits-001,STU-00329,SC/ST Post-Matric,45000.0,1,2024-2025,2024-11-14,disbursed,RTGS,SCH104666
sch-000905,college-aits-001,STU-00329,SC/ST Post-Matric,45000.0,2,2024-2025,2025-05-07,disbursed,NEFT,SCH391865
sch-000906,college-aits-001,STU-00329,SC/ST Post-Matric,45000.0,3,2025-2026,2025-11-26,disbursed,Direct Benefit Transfer,SCH206694
sch-000907,college-aits-001,STU-00331,SC/ST Post-Matric,45000.0,1,2024-2025,2024-11-06,disbursed,RTGS,SCH441819
sch-000908,college-aits-001,STU-00331,SC/ST Post-Matric,45000.0,2,2024-2025,2025-03-15,disbursed,NEFT,SCH375097
sch-000909,college-aits-001,STU-00331,SC/ST Post-Matric,45000.0,3,2025-2026,2025-11-28,disbursed,Direct Benefit Transfer,SCH428628
sch-000910,college-aits-001,STU-00333,Merit,10000.0,1,2024-2025,2024-11-13,disbursed,Direct Benefit Transfer,SCH511612
sch-000911,college-aits-001,STU-00333,Merit,10000.0,2,2024-2025,2025-05-04,disbursed,RTGS,SCH469082
sch-000912,college-aits-001,STU-00333,Merit,10000.0,3,2025-2026,,pending,Direct Benefit Transfer,
sch-000913,college-aits-001,STU-00334,EBC,20000.0,1,2024-2025,2024-11-26,disbursed,RTGS,SCH744333
sch-000914,college-aits-001,STU-00334,EBC,20000.0,2,2024-2025,2025-05-03,disbursed,Direct Benefit Transfer,SCH240454
sch-000915,college-aits-001,STU-00334,EBC,20000.0,3,2025-2026,,pending,NEFT,
sch-000916,college-aits-001,STU-00335,Merit,10000.0,1,2024-2025,2024-09-12,disbursed,Direct Benefit Transfer,SCH248225
sch-000917,college-aits-001,STU-00335,Merit,10000.0,2,2024-2025,2025-05-13,disbursed,RTGS,SCH725397
sch-000918,college-aits-001,STU-00335,Merit,10000.0,3,2025-2026,2025-09-19,disbursed,NEFT,SCH610310
sch-000919,college-aits-001,STU-00337,Merit,10000.0,1,2024-2025,2024-11-18,disbursed,Direct Benefit Transfer,SCH776604
sch-000920,college-aits-001,STU-00337,Merit,10000.0,2,2024-2025,2025-03-18,disbursed,NEFT,SCH613426
sch-000921,college-aits-001,STU-00337,Merit,10000.0,3,2025-2026,,pending,RTGS,
sch-000922,college-aits-001,STU-00338,EBC,20000.0,1,2024-2025,2024-11-02,disbursed,RTGS,SCH110048
sch-000923,college-aits-001,STU-00338,EBC,20000.0,2,2024-2025,2025-04-05,disbursed,NEFT,SCH954815
sch-000924,college-aits-001,STU-00338,EBC,20000.0,3,2025-2026,2025-10-18,disbursed,RTGS,SCH529008
sch-000925,college-aits-001,STU-00339,EBC,20000.0,1,2024-2025,2024-11-16,disbursed,RTGS,SCH844638
sch-000926,college-aits-001,STU-00339,EBC,20000.0,2,2024-2025,2025-04-16,disbursed,NEFT,SCH186686
sch-000927,college-aits-001,STU-00339,EBC,20000.0,3,2025-2026,2025-11-01,disbursed,NEFT,SCH406278
sch-000928,college-aits-001,STU-00340,Merit,10000.0,1,2024-2025,2024-09-09,disbursed,NEFT,SCH663723
sch-000929,college-aits-001,STU-00340,Merit,10000.0,2,2024-2025,2025-04-06,disbursed,RTGS,SCH693127
sch-000930,college-aits-001,STU-00340,Merit,10000.0,3,2025-2026,2025-11-25,disbursed,Direct Benefit Transfer,SCH635618
sch-000931,college-aits-001,STU-00343,SC/ST Post-Matric,45000.0,1,2024-2025,2024-09-19,disbursed,NEFT,SCH380901
sch-000932,college-aits-001,STU-00343,SC/ST Post-Matric,45000.0,2,2024-2025,2025-05-27,disbursed,RTGS,SCH668373
sch-000933,college-aits-001,STU-00343,SC/ST Post-Matric,45000.0,3,2025-2026,2025-09-25,disbursed,Direct Benefit Transfer,SCH329157
sch-000934,college-aits-001,STU-00345,Merit,10000.0,1,2024-2025,2024-10-04,disbursed,Direct Benefit Transfer,SCH970392
sch-000935,college-aits-001,STU-00345,Merit,10000.0,2,2024-2025,2025-05-25,disbursed,NEFT,SCH412170
sch-000936,college-aits-001,STU-00345,Merit,10000.0,3,2025-2026,,pending,NEFT,
sch-000937,college-aits-001,STU-00346,SC/ST Post-Matric,45000.0,1,2024-2025,2024-10-28,disbursed,NEFT,SCH913308
sch-000938,college-aits-001,STU-00346,SC/ST Post-Matric,45000.0,2,2024-2025,2025-03-07,disbursed,Direct Benefit Transfer,SCH716482
sch-000939,college-aits-001,STU-00346,SC/ST Post-Matric,45000.0,3,2025-2026,2025-11-12,disbursed,Direct Benefit Transfer,SCH763508
sch-000940,college-aits-001,STU-00352,SC/ST Post-Matric,45000.0,1,2024-2025,2024-10-06,disbursed,Direct Benefit Transfer,SCH245998
sch-000941,college-aits-001,STU-00352,SC/ST Post-Matric,45000.0,2,2024-2025,2025-03-27,disbursed,NEFT,SCH944565
sch-000942,college-aits-001,STU-00352,SC/ST Post-Matric,45000.0,3,2025-2026,2025-09-19,disbursed,RTGS,SCH725850
sch-000943,college-aits-001,STU-00353,SC/ST Post-Matric,45000.0,1,2024-2025,2024-11-06,disbursed,RTGS,SCH838253
sch-000944,college-aits-001,STU-00353,SC/ST Post-Matric,45000.0,2,2024-2025,2025-04-10,disbursed,Direct Benefit Transfer,SCH380329
sch-000945,college-aits-001,STU-00353,SC/ST Post-Matric,45000.0,3,2025-2026,2025-11-22,disbursed,NEFT,SCH886530
sch-000946,college-aits-001,STU-00356,SC/ST Post-Matric,45000.0,1,2024-2025,2024-10-02,disbursed,RTGS,SCH787757
sch-000947,college-aits-001,STU-00356,SC/ST Post-Matric,45000.0,2,2024-2025,2025-03-23,disbursed,NEFT,SCH361805
sch-000948,college-aits-001,STU-00356,SC/ST Post-Matric,45000.0,3,2025-2026,2025-09-23,disbursed,NEFT,SCH898462
sch-000949,college-aits-001,STU-00357,SC/ST Post-Matric,45000.0,1,2024-2025,2024-11-13,disbursed,RTGS,SCH249077
sch-000950,college-aits-001,STU-00357,SC/ST Post-Matric,45000.0,2,2024-2025,2025-05-21,disbursed,RTGS,SCH758309
sch-000951,college-aits-001,STU-00357,SC/ST Post-Matric,45000.0,3,2025-2026,2025-10-13,disbursed,Direct Benefit Transfer,SCH933197
sch-000952,college-aits-001,STU-00360,Merit,10000.0,1,2024-2025,2024-09-13,disbursed,Direct Benefit Transfer,SCH886224
sch-000953,college-aits-001,STU-00360,Merit,10000.0,2,2024-2025,2025-04-23,disbursed,RTGS,SCH576782
sch-000954,college-aits-001,STU-00360,Merit,10000.0,3,2025-2026,2025-10-11,disbursed,Direct Benefit Transfer,SCH197666
sch-000955,college-aits-001,STU-00361,EBC,20000.0,1,2025-2026,2025-11-15,disbursed,Direct Benefit Transfer,SCH475623
sch-000956,college-aits-001,STU-00363,Merit,10000.0,1,2025-2026,2025-09-26,disbursed,NEFT,SCH550513
sch-000957,college-aits-001,STU-00365,SC/ST Post-Matric,45000.0,1,2025-2026,,pending,RTGS,
sch-000958,college-aits-001,STU-00366,SC/ST Post-Matric,45000.0,1,2025-2026,2025-10-18,disbursed,Direct Benefit Transfer,SCH993829
sch-000959,college-aits-001,STU-00371,Merit,10000.0,1,2025-2026,2025-10-26,disbursed,Direct Benefit Transfer,SCH899281
sch-000960,college-aits-001,STU-00372,Merit,10000.0,1,2025-2026,,pending,RTGS,
sch-000961,college-aits-001,STU-00373,SC/ST Post-Matric,45000.0,1,2025-2026,2025-09-04,disbursed,NEFT,SCH562721
sch-000962,college-aits-001,STU-00374,SC/ST Post-Matric,45000.0,1,2025-2026,2025-10-01,disbursed,RTGS,SCH312146
